id,code,province,latitude,longitude,created_at
1,57T,เชียงราย,19.907804,99.831798,2026-03-09T17:21:34.256Z
2,58T,แม่ห้องสอน,19.299105,97.966982,2026-03-09T17:21:34.256Z
3,82T,หนองคาย,17.868331,102.729021,2026-03-09T17:21:34.256Z
4,83T,อุบลราชธานี,15.241696,104.853474,2026-03-09T17:21:34.256Z
5,86T,พิษณุโลก,16.814097,100.259637,2026-03-09T17:21:34.256Z
6,79T,กาญจนบุร๊,14.025679,99.529249,2026-03-09T17:21:34.256Z
7,05T,กรุงเทพมหานคร,13.667666,100.618481,2026-03-09T17:21:34.256Z
8,87T,ตราด,12.247411,102.517208,2026-03-09T17:21:34.256Z
9,42T,สุราษฎร์ธานี,9.10712,99.348683,2026-03-09T17:21:34.256Z
10,62T,นราธิวาส,6.423428,101.822979,2026-03-09T17:21:34.256Z
