id,location_id,date,pm,temp,dew_point,humidity,pressure,wind_speed,precipitation,wind_direction,fetched_at
147,1,2026-02-20,20.34,23.4,19.8,82,970,3.9,10.7,286,2026-03-10T00:19:59.223Z
148,1,2026-02-21,20.07,24,18.2,74,965.2,4.6,0,277,2026-03-10T00:19:59.223Z
149,1,2026-02-22,21.87,24.1,17.9,70,963.1,4.6,0.6,288,2026-03-10T00:19:59.223Z
150,1,2026-02-23,24.16,24.4,18.6,72,963.4,3.4,0,268,2026-03-10T00:19:59.223Z
151,1,2026-02-24,25.88,22.6,19.5,83,965.3,3.7,2.1,316,2026-03-10T00:19:59.223Z
152,1,2026-02-25,17.73,19.8,18.3,91,967.5,4.9,20.5,353,2026-03-10T00:19:59.223Z
153,1,2026-02-26,9.68,21.3,17.2,79,964.8,2.3,0.6,359,2026-03-10T00:19:59.223Z
154,1,2026-02-27,12.83,22.6,17.4,75,961.8,3.2,0.3,280,2026-03-10T00:19:59.223Z
155,1,2026-02-28,20.39,23.6,15.4,64,960.7,5.6,0,246,2026-03-10T00:19:59.223Z
156,1,2026-03-01,25.05,23.2,13.9,59,961.7,4.7,0,287,2026-03-10T00:19:59.223Z
157,1,2026-03-02,24.93,22.4,13.4,62,963.6,4.1,0,296,2026-03-10T00:19:59.223Z
158,1,2026-03-03,41.45,22,13.4,61,964.6,3.7,0,325,2026-03-10T00:19:59.223Z
159,1,2026-03-04,50.96,23.6,13.7,57,964.7,2.7,0,16,2026-03-10T00:19:59.223Z
160,1,2026-03-05,63.63,23.7,15.3,59,964.6,3.7,0,56,2026-03-10T00:19:59.223Z
161,1,2026-03-06,53.12,24,17.3,67,966.7,4.4,0.1,189,2026-03-10T00:19:59.223Z
162,1,2026-03-07,35.45,24.6,18,69,967.2,4.3,0,212,2026-03-10T00:19:59.223Z
163,1,2026-03-08,31.32,25,17.6,66,966.9,4.4,0.2,219,2026-03-10T00:19:59.223Z
164,1,2026-03-09,40.82,24.8,18.3,69,968.5,3.8,0.1,226,2026-03-10T00:19:59.223Z
165,2,2026-02-20,14.66,25.7,19,70,985.7,2.7,0,231,2026-03-10T00:19:59.223Z
166,2,2026-02-21,14.44,24.2,19.9,79,982.2,2.6,2.4,271,2026-03-10T00:19:59.223Z
167,2,2026-02-22,13.45,24.5,19.2,74,980.5,2.6,0.1,278,2026-03-10T00:19:59.223Z
168,2,2026-02-23,12.42,24.1,19.8,78,980.4,2.8,1.2,198,2026-03-10T00:19:59.223Z
169,2,2026-02-24,10.92,23.2,19.7,81,982.3,1.5,7.2,3,2026-03-10T00:19:59.223Z
170,2,2026-02-25,7.13,20.4,19.5,94,983.9,2.5,25.4,322,2026-03-10T00:19:59.223Z
171,2,2026-02-26,6.96,23.7,18.7,76,980.7,2.3,0,213,2026-03-10T00:19:59.223Z
172,2,2026-02-27,10.01,24.4,17,67,978.4,2.3,0,204,2026-03-10T00:19:59.223Z
173,2,2026-02-28,14.15,24.5,16.2,63,978.2,3.5,0,235,2026-03-10T00:19:59.223Z
174,2,2026-03-01,15.11,23.9,14.7,60,979.4,2.5,0,242,2026-03-10T00:19:59.223Z
175,2,2026-03-02,15.39,23.6,12.9,56,981.2,1.9,0,288,2026-03-10T00:19:59.223Z
176,2,2026-03-03,17.39,24.4,12.9,52,981.5,1.9,0,122,2026-03-10T00:19:59.223Z
177,2,2026-03-04,18.54,24.8,14.9,57,981.2,2.2,0,198,2026-03-10T00:19:59.223Z
